entry_date,exit_date,days_held,S_entry,S_exit,K1,K2,premium,max_profit,max_loss,pnl,pnl_pct,short_delta,sigma,exit_reason,signal
2019-03-29,2019-04-01,3,255.1628570556641,258.19,242.4,229.65,0.0944,0.0944,12.6556,0.0702,0.55,-0.0314,0.1047,profit_target,signal_A
2019-04-01,2019-04-04,3,258.1888427734375,259.41,245.28,232.37,0.1,0.1,12.81,0.0534,0.42,-0.0324,0.1055,profit_target,signal_A
2019-04-04,2019-04-08,4,259.40826416015625,260.86,246.44,233.47,0.0959,0.0959,12.8741,0.0588,0.46,-0.0314,0.1047,profit_target,signal_A
2019-04-08,2019-04-12,4,260.8625793457031,262.1,247.82,234.78,0.0939,0.0939,12.9461,0.049,0.38,-0.0308,0.1042,profit_target,signal_A
2019-04-12,2019-04-18,6,262.1000366210937,261.97,249.0,235.89,0.1026,0.1026,13.0074,0.0658,0.51,-0.0327,0.1057,profit_target,signal_A
2019-04-18,2019-04-23,5,261.9735412597656,264.56,248.87,235.78,0.0668,0.0668,13.0232,0.0592,0.45,-0.0239,0.0984,profit_target,signal_A
2019-04-23,2019-04-29,6,264.5570983886719,265.45,251.33,238.1,0.0467,0.0467,13.1833,0.0326,0.25,-0.0181,0.0929,profit_target,signal_A
2019-04-29,2019-05-06,7,265.45135498046875,264.5,252.18,238.91,0.0444,0.0444,13.2256,0.0405,0.31,-0.0174,0.0921,profit_target,signal_A
2019-05-06,2019-05-07,1,264.5028381347656,260.09,251.28,238.05,0.0068,0.0068,13.2232,-0.1792,-1.36,-0.0039,0.073,stop_loss,signal_A
2019-05-07,2019-05-13,6,260.0857238769531,253.7,247.08,234.08,0.0378,0.0378,12.9622,-0.5596,-4.32,-0.0156,0.0903,stop_loss,signal_A
2019-05-13,2019-05-14,1,253.6994171142578,255.99,241.01,228.33,0.1537,0.1537,12.5263,0.0916,0.73,-0.0446,0.1148,profit_target,signal_A
2019-05-14,2019-05-16,2,255.9937744140625,259.88,243.19,230.39,0.1401,0.1401,12.6599,0.0964,0.76,-0.0415,0.1126,profit_target,signal_A
